"Cluster","Within_Cluster_Sum_of_Squares","Number_Assigned","Mean_Cluster_Within_Sum_of_Squares","RM2018_01","RM2018_02","RM2018_02a","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43"
"1",13297.7392411554,6472,2.05465686668038,0,0,0.416091565179019,0.571430078340266,0.407499384213623,0,0.000102285433458808,0.545665761578409,0.231303951783543,0.037966788472768,0.0520825366590865,0.028322256793671,0.0260462556831509,0.174737237163291,0.0343237667802771,0.0239088970177175,1,0.999845488257108,0,0.00015451174289246,0,0,0,0,0,0.544499381953028,0.426452410383189,0.0160692212608158,0.0840543881334982,0.00927070457354759,0.274103831891224,0.0129789864029666
"2",9771.27925868968,7726,1.26472680024459,0,0,0.359923872865868,0.519601845616178,0.42458645038985,0,0,0.556196876350133,0.191280977269511,0.0727380218240279,0.0478635826896935,0.0358992304735958,0.0233392364701692,0.146573297083242,0.0316296543163859,0.0230669356065237,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0273103805332643,0,0.0020539982849254
"3",28119.1148335619,14029,2.00435632144571,0,0,0.0514648228669185,0.438235084467888,0.269940836837978,0,0,0.491838334877753,0.171216765271937,0.0407014042340865,0.0387055385273362,0.0295815810107634,0.0174638249340652,0.156176491553211,0.0170361394254758,0.00014256183619645,1,0,0,0,0,1,0,0,0.425119395537815,0.284482144130016,0.262527621355763,0.0115475087319125,0.0404162805616936,0.0190320051322261,0.166868629267945,0.000213842754294675
"4",18298.9453057808,7227,2.53202508728115,0.33206739402045,0.650944878430906,0.298752080542023,0.649113642042017,0.210728810066965,0.0271753252656982,8.10399811606066e-05,0.566773500653072,0.150662147049434,0.0178390971453899,0.0395146644148408,0.0287200914596585,0.076061275176763,0.29459582276809,0.06388474647556,0.259148339574789,0,0,0.628061436280614,0,0,0,0.316590563165906,0.0355610903556109,0,0.99100594991006,0,0.0065033900650339,0.104054241040542,0.0023522900235229,0.406669434066694,0.235552353626071
"5",26661.6500616385,11786,2.26214577139305,0.350733713902423,0.572859953639317,0.257582982026758,0.66113976519673,0.278086992902172,0.0517290472459709,0.00109678915371286,0.260895196953896,0.255215015554438,0.12145614795873,0.122809905447875,0.128636747580273,0.0652972117048315,0.222242482017586,0.0361436025662954,0.394740009042838,0,0,0.771423723061259,0,0,0,0.135499745460716,0.0720346173426099,0.97556422874597,0,0,0.014848124893942,0.000254539283896148,0.0346173426098761,0,0.0318924210598929
"6",30515.9774216567,11350,2.68863237195214,0.418560000613223,0.60994094846799,0.241497493278231,0.678848530042434,0.176130400758343,0.0200250983923356,0.000290235930798548,0.232440930531739,0.35943791379082,0.0677233523880568,0.105833341760996,0.103133709545988,0.0798878307903573,0.289938580110923,0.0387932775192203,0.437144378029523,0,0,0.634537444933921,0,0,0,0.297444933920705,0.0282819383259912,0,0,0.987136563876652,0.00969162995594714,0.212687224669604,0.0266960352422907,0.277621145374449,0.105509765707823
"7",8878.9815342993,6661,1.33298026336876,0,0,0,0,0,0.9057198618826,0.0942801381173998,0.863834259120252,0.0528449181804534,0.0154631436721213,0.00810689085722864,0.00285242456087675,0.00285242456087675,0.0376820297252665,0.0105089325927038,0,1,0,0,0,1,0,0,0,0.523945353550518,0.378021318120402,0.0869238853025071,0.000150127608467197,0.0237201621378171,0.122203873292298,0.340039033178201,0
"8",10297.8821372666,6959,1.47979338084016,0.000477619857525798,0,0.0681237659434088,0.261733071950473,0.164868073885978,0.882658950788269,0.030461670784091,0.795564613368885,0.0889032551914153,0.0417187732089814,0.0299180353214815,0.0158681312542684,0.00967582963168634,0.0517703462818936,0.0175225911745672,0.00244287972409829,0.998994108348901,0,0,0.998994108348901,0,0,0,0.000431096421899698,0.663601092110935,0.262394022129616,0.0666762465871533,0.000862192843799396,0.0159505676102888,0.0948412128179336,0.194424486276764,0.00158068688029889
"Mean",18230.1962242561,9026.25,1.95241460790074,0.137729841049203,0.229218222567277,0.211679572837778,0.472512752206998,0.241480118631864,0.235913535446859,0.0157890199250777,0.539151184179268,0.187608118011444,0.0519508411130202,0.0556043119598172,0.0466267715848868,0.0375779861189875,0.171714535837938,0.0312303388563107,0.142574250103961,0.624874263543613,0.249980686032138,0.254252825534474,0.124893577511474,0.125,0.125,0.0936919053184158,0.017038592805764,0.448528758743155,0.30755035203039,0.228714590938158,0.00745902441998974,0.0601421754296675,0.04204048052812,0.20746582000691,0.0487227568395341
