"Cluster","Within_Cluster_Sum_of_Squares","Number_Assigned","Mean_Cluster_Within_Sum_of_Squares","RM2018_01","RM2018_02","RM2018_03","RM2018_04","RM2018_05","RM2018_06","RM2018_08","RM2018_09","RM2018_10","RM2018_11","RM2018_12","RM2018_13","RM2018_14","RM2018_15","RM2018_17","RM2018_18","RM2018_21","RM2018_22","RM2018_23","RM2018_24","RM2018_25","RM2018_26","RM2018_27","RM2018_28","RM2018_29","RM2018_30","RM2018_31","RM2018_40","RM2018_41","RM2018_42","RM2018_43"
"1",414.785988444462,515,0.805409686299926,0.573428004112249,0.768178479937463,0.821476500450633,0.731181231453745,0.540979975432245,0.0880688903220862,0.83611287878508,0.688906862019162,0.291740248640233,0.327219480781559,0.347648199756248,0.310111598842015,0.642670706991736,0.250329794625811,0.817118186946679,0.89433653606354,0.679902099941393,0.76516066227587,0.539498878391223,0.528346727860831,0.600728733289254,0.519431315222607,0,0.839438686505399,0.760438170530385,0.665226178080959,0.00161271408817736,0.355515178335693,0.42588483900124,0.710491979668214,0.678753390280488
"2",316.708756907633,464,0.682561976094036,0.579279604448707,0.768155943756075,0.824362042779675,0.725860316200019,0.555511057375959,0.0932025018024073,0.827307645593482,0.691627811775303,0.29150040652751,0.349615524094158,0.347481304653095,0.313446672253014,0.683581943119695,0.270219826925234,0.830748872845793,0.885280728509639,0.681311873519715,0.76181792651362,0.532852535581247,0.498218699204183,0.620514905400848,0.515973838581555,0.503623306324007,0.850336276361243,0.755502269406348,0.660915917952283,0.00377276262501161,0.403169454316833,0.384009223509092,0.702342802923455,0.648901517915163
"3",334.920225438079,339,0.987965266778994,0.577988056561367,0.741543846673471,0.833614995438559,0.706594151153962,0.56675068707965,0.0911898923069711,0.714329906001963,0.682103646975788,0.526441349163399,0.574078144655229,0.557388867349986,0.315075288905691,0.507406292277788,0.242038137867087,0.911566798339017,0.892296979588177,0.68406381115089,0.764924176055122,0.573000746724445,0.483164170855002,0.6030275429874,0.421497678440808,0.396731345085049,0.928682877262893,0.0735137207407046,0.730276740204628,0,0.331879196503174,0.503874227730091,0.377466702621901,0.302714839193079
"4",237.631147448663,137,1.73453392298294,0.425730499617508,0.61463888324528,0.789021340013427,0.73855132075231,0.637925223392613,0.164431489982203,0.859484095798431,0.56845791540067,0.354653128415566,0.261130683362587,0.198265391859261,0.217337005338925,0.416224660071905,0.208383478317084,0.546307188117516,0.934725298752662,0.699882762324273,0.666968491275975,0.621129536190974,0.525809749585091,0.529584343492624,0.189990839124618,0.144097994541458,0.947925826271202,0.130249435610466,0.542539236462598,0,0.123910675010317,0.365760146244927,0.209474753463855,0.0561044490439387
"5",430.206968892637,308,1.39677587302804,0.685102871472011,0.778767140302891,0.874007815111803,0.650039105715996,0.195921482702505,0.00701254731021737,0.642330378228351,0.721319637119481,0.370356219358139,0.436256684125209,0.377981652982429,0.400112038092771,0.728721260692304,0.207967676953755,0.885502426484977,0.834271804880579,0.581981625873628,0.774166576956675,0.12642982819222,0.147248354739559,0.697341807669248,0.596590057387459,0.106142145159397,0.660197020088748,0.0506256388815634,0.850018351565255,0.0453740688256712,0.470610712556448,0.173115906505489,0.563820013464255,0.339586340053176
"6",382.538671879483,336,1.13850795202227,0.544091941060955,0.718217530354025,0.820757135714693,0.7423206202498,0.561889379165318,0.0810703310963753,0.820886049140409,0.69703082321143,0.260358024667793,0.314055787916465,0.299514351472907,0.277593361583693,0.620480251829342,0.216344595580158,0.841945047486184,0.910687967595322,0.67740736225661,0.729987310025387,0.512182953298699,0.514245949153694,0.637166691642723,0.407267389769642,0.161718705565601,0.847243722921066,0.736910416794746,0.633790652602623,0,0.316568288616763,0.343867641557279,0.655720724022712,0
"7",296.354905704191,229,1.29412622578249,0.607858139791683,0.792714488356592,0.83720875209574,0.697429955789199,0.285779114345783,0.0089960109322314,0.7809123758189,0.598141846732334,0.167714437415479,0.266469734703146,0.22991335504859,0.378186614217412,0.782956255493706,0.321222463708573,0.768085609689087,0.840311118612452,0.615113119702978,0.754608727011982,0.20622451382263,0.214832926886547,0.675151072483071,0.597915578890081,0.119367062969369,0.448611955391253,0.890296533674577,0.460883270187849,0.0218340611353712,0.469900918881583,0.0704885165638616,0.757204587671791,0.657848696848182
"8",69.2296310255284,37,1.87107110879806,0.116343766181536,0.195065897016388,0.37823536789956,0.451678808612533,0.927158941862318,0.560321377294827,0.940785987230725,0.506267333804561,0.149485871503625,0.142732674921771,0.079933584159356,0.0883045357697914,0.449149904653429,0.174170453183819,0.22643364733364,0.99342872544321,0.19040000010801,0.0865576597498541,0.535662835974163,0.866956362674889,0.600232698508883,0.0854933121711911,0.073280488433527,0.224615269743604,0.723480990905467,0.365766023064377,0,0.308204269282626,0.12249197674286,0.8524689234122,0.111255246849983
"Mean",310.297036967584,295.625,1.23886900147335,0.513727860405752,0.672160276205273,0.772335493688011,0.680456938740945,0.533989482669549,0.136786630130915,0.802768664574668,0.644231984629841,0.301531210711468,0.333944839320016,0.304765838410234,0.287520889375414,0.603898909391238,0.23633455339519,0.728463472155362,0.898167394930698,0.601257831859687,0.663023941233061,0.45587272852195,0.472352867619975,0.620468474434256,0.416770001198495,0.188120131009801,0.718381454318176,0.515127147068032,0.613677046265072,0.00907420083427891,0.34746983668793,0.298686559731855,0.603623810906048,0.349395560023001
